,code,powiat,type,year,value
431,461000,City with powiat status Bydgoszcz,grand total,2003,2162.47
432,462000,City with powiat status Grudziądz,grand total,2003,1842.79
433,463000,City with powiat status Toruń,grand total,2003,2151.47
434,464000,City with powiat status Włocławek,grand total,2003,2090.24
435,601000,Powiat bialski,grand total,2003,1666.91
436,602000,Powiat biłgorajski,grand total,2003,1823.67
437,603000,Powiat chełmski,grand total,2003,1862.96
438,604000,Powiat hrubieszowski,grand total,2003,1795.42
439,605000,Powiat janowski,grand total,2003,1741.61
440,606000,Powiat krasnostawski,grand total,2003,1786.44
441,607000,Powiat kraśnicki,grand total,2003,1805.99
442,608000,Powiat lubartowski,grand total,2003,1756.07
443,609000,Powiat lubelski,grand total,2003,1760.62
444,610000,Powiat łęczyński,grand total,2003,3108.53
445,611000,Powiat łukowski,grand total,2003,1671.82
446,612000,Powiat opolski,grand total,2003,1839.54
447,613000,Powiat parczewski,grand total,2003,1740.2
448,614000,Powiat puławski,grand total,2003,2110.97
449,615000,Powiat radzyński,grand total,2003,1888.95
450,616000,Powiat rycki,grand total,2003,1788.47
451,617000,Powiat świdnicki,grand total,2003,1866.58
452,618000,Powiat tomaszowski,grand total,2003,1721.63
453,619000,Powiat włodawski,grand total,2003,1838.5
454,620000,Powiat zamojski,grand total,2003,1590.52
455,661000,City with powiat status Biała Podlaska,grand total,2003,1834.22
456,662000,City with powiat status Chełm,grand total,2003,1951.04
457,663000,City with powiat status Lublin,grand total,2003,2207.83
458,664000,City with powiat status Zamość,grand total,2003,1994.35
459,801000,Powiat gorzowski,grand total,2003,2097.63
460,802000,Powiat krośnieński,grand total,2003,1868.1
461,803000,Powiat międzyrzecki,grand total,2003,1842.27
462,804000,Powiat nowosolski,grand total,2003,1754.94
463,805000,Powiat słubicki,grand total,2003,2087.91
464,806000,Powiat strzelecko-drezdenecki,grand total,2003,1882.31
465,807000,Powiat sulęciński,grand total,2003,1650.09
466,808000,Powiat świebodziński,grand total,2003,1736.4
467,809000,Powiat zielonogórski,grand total,2003,1947.03
468,810000,Powiat żagański,grand total,2003,1751.22
469,811000,Powiat żarski,grand total,2003,1984.9
470,812000,Powiat wschowski,grand total,2003,1668.68
471,861000,City with powiat status Gorzów Wielkopolski,grand total,2003,2047.51
472,862000,City with powiat status Zielona Góra,grand total,2003,2286.63
473,1001000,Powiat bełchatowski,grand total,2003,3019.04
474,1002000,Powiat kutnowski,grand total,2003,1924.06
475,1003000,Powiat łaski,grand total,2003,1703.0
476,1004000,Powiat łęczycki,grand total,2003,1919.81
477,1005000,Powiat łowicki,grand total,2003,1849.03
478,1006000,Powiat łódzki wschodni,grand total,2003,1762.31
479,1007000,Powiat opoczyński,grand total,2003,1934.61
480,1008000,Powiat pabianicki,grand total,2003,1857.39
481,1009000,Powiat pajęczański,grand total,2003,1876.58
482,1010000,Powiat piotrkowski,grand total,2003,1633.99
483,1011000,Powiat poddębicki,grand total,2003,1730.05
484,1012000,Powiat radomszczański,grand total,2003,1648.68
485,1013000,Powiat rawski,grand total,2003,1703.8
486,1014000,Powiat sieradzki,grand total,2003,1839.17
