county_code,county_name,ukr_citizens,total_ukr,ukr_citizens_share
2815,Powiat ostródzki,41,53048,0.0007728849343990349
2816,Powiat piski,10,53048,0.00018850852058513044
2817,Powiat szczycieński,19,53048,0.00035816618911174784
2818,Powiat gołdapski,6,53048,0.00011310511235107827
2819,Powiat węgorzewski,9,53048,0.0001696576685266174
2861,Powiat m. Elbląg,34,53048,0.0006409289699894435
2862,Powiat m. Olsztyn,107,53048,0.002017041170260896
3001,Powiat chodzieski,12,53048,0.00022621022470215653
3002,Powiat czarnkowsko-trzcianecki,51,53048,0.0009613934549841653
3003,Powiat gnieźnieński,74,53048,0.0013949630523299654
3004,Powiat gostyński,17,53048,0.00032046448499472175
3005,Powiat grodziski,79,53048,0.0014892173126225304
3006,Powiat jarociński,52,53048,0.0009802443070426783
3007,Powiat kaliski,81,53048,0.0015269190167395566
3008,Powiat kępiński,678,53048,0.012780877695671844
3009,Powiat kolski,22,53048,0.00041471874528728697
3010,Powiat koniński,26,53048,0.0004901221535213391
3011,Powiat kościański,73,53048,0.0013761122002714523
3012,Powiat krotoszyński,92,53048,0.0017342783893832
3013,Powiat leszczyński,57,53048,0.0010744985673352436
3014,Powiat międzychodzki,13,53048,0.0002450610767606696
3015,Powiat nowotomyski,112,53048,0.002111295430553461
3016,Powiat obornicki,64,53048,0.0012064545317448348
3017,Powiat ostrowski,119,53048,0.002243251394963052
3018,Powiat ostrzeszowski,94,53048,0.0017719800935002263
3019,Powiat pilski,91,53048,0.001715427537324687
3020,Powiat pleszewski,27,53048,0.0005089730055798522
3021,Powiat poznański,675,53048,0.012724325139496305
3022,Powiat rawicki,30,53048,0.0005655255617553913
3023,Powiat słupecki,21,53048,0.00039586789322877393
3024,Powiat szamotulski,159,53048,0.002997285477303574
3025,Powiat średzki,137,53048,0.002582566732016287
3026,Powiat śremski,67,53048,0.001263007087920374
3027,Powiat turecki,84,53048,0.0015834715729150957
3028,Powiat wągrowiecki,26,53048,0.0004901221535213391
3029,Powiat wolsztyński,76,53048,0.0014326647564469914
3030,Powiat wrzesiński,61,53048,0.0011499019755692958
3031,Powiat złotowski,20,53048,0.0003770170411702609
3061,Powiat m. Kalisz,142,53048,0.002676820992308852
3062,Powiat m. Konin,23,53048,0.0004335695973458
3063,Powiat m. Leszno,139,53048,0.0026202684361333133
3064,Powiat m. Poznań,1455,53048,0.02742798974513648
3201,Powiat białogardzki,41,53048,0.0007728849343990349
3202,Powiat choszczeński,19,53048,0.00035816618911174784
3203,Powiat drawski,12,53048,0.00022621022470215653
3204,Powiat goleniowski,201,53048,0.003789021263761122
3205,Powiat gryficki,46,53048,0.0008671391946916
3206,Powiat gryfiński,66,53048,0.001244156235861861
3207,Powiat kamieński,58,53048,0.0010933494193937567
3208,Powiat kołobrzeski,123,53048,0.0023186548031971046
3209,Powiat koszaliński,62,53048,0.0011687528276278088
3210,Powiat myśliborski,84,53048,0.0015834715729150957
3211,Powiat policki,147,53048,0.0027710752526014177
3212,Powiat pyrzycki,25,53048,0.0004712713014628261
3213,Powiat sławieński,27,53048,0.0005089730055798522
3214,Powiat stargardzki,75,53048,0.0014138139043884783
3215,Powiat szczecinecki,44,53048,0.0008294374905745739
3216,Powiat świdwiński,25,53048,0.0004712713014628261
3217,Powiat wałecki,26,53048,0.0004901221535213391
3218,Powiat łobeski,10,53048,0.00018850852058513044
3261,Powiat m. Koszalin,165,53048,0.0031103905896546526
3262,Powiat m. Szczecin,1303,53048,0.024562660232242496
3263,Powiat m. Świnoujście,83,53048,0.0015646207208565826
